x,Q2,W,miss_mass,phih,pt2,t,secondary_pips,secondary_pims,secondary_pizs,secondary_esum,accepted
0.3751,4.0377,2.7583,11.7914,2.7387,0.0439,-0.6230,0,0,2,0.29600,3
0.4267,4.6158,2.6614,11.8130,-2.8389,0.1439,-0.8648,0,1,0,0.36925,1
0.3531,3.8400,2.8133,12.7135,-2.5474,0.0731,-1.3190,0,1,1,1.35077,1
0.4557,4.4696,2.4940,11.6496,1.0639,0.0088,-0.6018,0,1,0,0.15235,3
0.4748,4.3363,2.3827,11.6322,1.9396,0.0164,-0.6255,0,1,0,0.26077,1
0.4049,4.1198,2.6336,12.9159,-1.5696,0.0001,-1.5764,1,2,1,0.98248,1
0.5556,5.7898,2.3476,11.8357,-1.2602,0.0147,-0.9921,0,1,0,0.27713,3
0.4308,4.3399,2.5721,12.0078,-0.9630,0.0147,-0.8786,0,1,0,0.47349,1
0.3806,4.1866,2.7736,11.7327,2.8966,0.1341,-0.6983,0,1,0,0.33503,3
0.4012,4.2107,2.6769,11.9729,-2.0555,0.0023,-0.7660,0,1,0,0.45414,1
0.4466,4.4134,2.5196,12.4420,-2.6275,0.0319,-1.3453,0,1,0,0.66165,1
0.4594,4.4576,2.4748,12.0453,2.3550,0.0078,-0.9712,0,1,0,0.48890,1
0.4020,4.0437,2.6262,11.9438,-1.2115,0.0049,-0.7465,0,1,0,0.45035,1
0.3941,4.0325,2.6609,11.7959,2.1348,0.0939,-0.7244,0,1,0,0.47074,3
0.4411,4.3217,2.5211,12.2064,-2.1045,0.0057,-1.0699,0,1,2,0.90046,1
0.3970,4.3776,2.7441,12.8327,-3.0853,0.0519,-1.5565,0,2,1,1.78934,0
0.4874,5.3637,2.5535,12.2046,2.1296,0.0427,-1.2538,0,1,0,0.62786,3
0.3337,3.6735,2.8661,11.6807,2.8601,0.0697,-0.5045,0,1,0,0.22947,1
0.3844,4.2251,2.7650,11.9517,2.2646,0.0158,-0.7304,0,1,0,0.58619,1
0.4264,4.1518,2.5429,12.2105,-1.8544,0.0098,-1.0386,0,1,1,0.64048,1
0.4886,4.5301,2.3711,11.7007,-1.8508,0.0100,-0.7068,0,1,0,0.32433,1
0.4257,4.2083,2.5610,11.5511,-1.4059,0.0323,-0.4987,0,1,0,0.25427,1
0.3908,4.1776,2.7188,12.1858,2.9097,0.0430,-0.9692,0,1,0,0.92470,3
0.3447,3.8011,2.8470,11.8537,3.0095,0.1293,-0.7177,0,1,0,0.48867,2
0.4302,4.1409,2.5227,11.9648,-0.9997,0.0307,-0.8601,0,1,0,0.47660,1
0.4468,4.2986,2.4905,11.6236,-1.9540,0.0014,-0.5547,0,1,0,0.22472,3
0.5730,5.2843,2.1952,12.0897,0.0194,0.0673,-1.3962,0,1,0,0.64929,1
0.3312,3.6210,2.8623,12.8390,2.3394,0.0670,-1.3224,0,1,3,1.22829,1
0.4777,4.3577,2.3760,11.8037,-2.6200,0.0062,-0.7793,0,1,0,0.29075,1
0.3482,3.7851,2.8226,12.3529,2.8581,0.1872,-1.1828,0,1,1,1.16606,1
0.5423,5.5915,2.3664,12.0903,-2.4869,0.0085,-1.2342,0,1,0,0.50363,3
0.3716,4.0127,2.7687,13.0748,-2.9812,0.0790,-1.7071,0,0,4,1.72654,1
0.5261,5.3696,2.3910,12.6796,-2.0894,0.0051,-1.8371,0,2,1,1.11321,1
0.4275,4.5332,2.6365,11.6987,-2.6078,0.0280,-0.6221,0,1,0,0.27759,3
0.3859,4.1013,2.7216,11.8230,2.5815,0.0071,-0.6217,0,1,0,0.35762,1
0.4197,4.0961,2.5581,11.5938,2.8383,0.0499,-0.5468,0,1,0,0.15588,1
0.3713,3.9088,2.7386,12.4370,-2.7374,0.0553,-1.1339,0,1,1,1.06774,1
0.3537,3.8051,2.7989,11.9058,-2.1176,0.0499,-0.6742,0,1,0,0.38454,1
0.3754,3.8951,2.7133,12.4240,-2.8035,0.0918,-1.1898,0,1,0,1.23206,1
0.4615,4.7236,2.5283,11.9104,-2.8623,0.0032,-0.8455,0,1,0,0.64285,3
0.4320,4.2893,2.5536,12.0480,-2.8320,0.0380,-0.9483,0,1,0,0.39302,1
0.4188,4.3776,2.6375,12.2011,-2.8385,0.0140,-1.0173,0,1,1,0.76546,3
0.4393,4.1973,2.4974,11.7321,1.3412,0.0208,-0.6612,0,1,0,0.32958,3
0.5115,4.8798,2.3537,11.9080,-1.0699,0.0423,-1.0050,0,0,0,0.00000,1
0.4578,5.0396,2.6170,11.8930,-2.2239,0.0825,-0.9253,0,1,0,0.54589,3
0.4718,4.5369,2.4413,11.9941,1.7026,0.0242,-0.9746,0,1,0,0.22899,1
0.5453,5.6005,2.3558,11.8379,-3.0713,0.0150,-0.9717,0,1,0,0.25062,1
0.3724,4.0849,2.7865,12.0596,-2.8414,0.1324,-0.9392,0,1,0,0.65109,3
0.5374,4.9128,2.2603,12.0062,1.1639,0.0092,-1.1241,0,1,0,0.24878,1
0.5128,5.5481,2.4804,12.3778,2.8670,0.0155,-1.4742,1,2,1,1.21145,3
0.4563,4.8298,2.5761,11.9949,2.8460,0.0720,-1.0043,0,1,0,0.65740,1
0.4660,5.0597,2.5841,11.8261,-1.1847,0.0047,-0.7802,0,1,0,0.53915,1
0.5418,5.2379,2.3042,11.9029,0.1070,0.0066,-1.0211,0,1,0,0.53677,3
0.4496,4.5190,2.5323,12.1897,-2.4469,0.0464,-1.1360,0,1,1,0.49701,1
0.4358,4.6273,2.6215,12.0500,1.9674,0.0454,-0.9702,0,1,0,0.24999,3
0.3884,3.9422,2.6623,12.3759,2.6617,0.0492,-1.1284,0,1,0,0.99309,1
0.3768,3.8845,2.7027,12.7744,-2.6447,0.0063,-1.3529,0,1,1,1.31237,1
0.5945,5.7678,2.1942,12.5157,-0.4785,0.0456,-1.9610,0,1,0,0.75772,1
0.4272,4.1433,2.5370,11.7897,1.6456,0.0229,-0.6916,0,1,0,0.19834,3
0.4488,4.7979,2.6025,12.6309,-1.8668,0.0231,-1.5232,0,1,0,1.41255,1
0.4313,4.3354,2.5687,12.3203,1.4084,0.0032,-1.1421,0,1,0,0.95764,1
0.4380,4.5103,2.5820,12.1992,1.8673,0.0071,-1.0584,0,1,0,0.80517,3
0.3932,4.0762,2.6776,12.3725,2.8657,0.0284,-1.1101,0,1,2,1.01528,1
0.4500,4.5130,2.5289,11.7346,2.0309,0.0544,-0.7262,0,1,0,0.22813,3
0.4453,4.3902,2.5196,12.0367,-2.5174,0.0342,-0.9652,0,1,0,0.41285,1
0.5665,5.2629,2.2153,12.4981,-0.8286,0.0120,-1.7804,1,1,0,0.76210,1
0.3570,3.8288,2.7889,12.3194,-2.4094,0.1211,-1.0900,0,1,0,0.53124,3
0.3658,3.9203,2.7707,12.5767,2.4219,0.0302,-1.1906,0,1,1,1.33881,1
0.3910,3.9659,2.6565,12.1567,-2.6133,0.0774,-0.9928,0,1,0,0.72676,1
0.3924,4.3006,2.7456,11.9327,-2.5367,0.0810,-0.8159,0,1,0,0.69698,3
0.4802,5.1402,2.5387,12.7525,-2.2341,0.0103,-1.7462,0,1,1,1.36559,1
0.4756,4.5270,2.4232,11.7738,1.0227,0.0032,-0.7443,0,1,0,0.29821,3
0.3770,4.1531,2.7829,11.9488,2.7924,0.0616,-0.7704,0,1,0,0.54554,2
0.4258,4.1411,2.5426,11.7731,-0.8952,0.0136,-0.6629,0,1,0,0.43596,1
0.4357,4.1812,2.5091,11.8551,0.8126,0.0246,-0.7672,0,1,0,0.55268,1
0.4352,4.7281,2.6490,12.0134,1.7504,0.0668,-0.9643,0,1,0,0.28430,1
0.4037,4.1457,2.6466,12.1839,-2.6758,0.1009,-1.0817,0,1,0,0.46950,1
0.5709,5.5871,2.2540,12.0568,-1.1293,0.0201,-1.2862,0,1,0,0.41177,1
0.4161,4.1912,2.6004,12.2821,3.0992,0.0569,-1.1409,0,1,0,0.95654,1
0.4056,4.2300,2.6605,12.6684,-2.4406,0.0443,-1.4316,1,2,0,1.47013,1
0.3646,3.8904,2.7676,11.8131,-2.8937,0.0357,-0.6097,0,1,0,0.35088,3
0.3793,4.1435,2.7680,12.0270,2.9073,0.0492,-0.8209,0,1,0,0.54963,3
0.4216,4.6432,2.6926,11.8094,3.0421,0.0295,-0.7080,0,1,0,0.54902,2
0.3835,4.1416,2.7455,12.8514,-2.7533,0.0773,-1.5599,0,1,0,1.70366,1
0.5575,5.4435,2.2805,11.9517,-0.6211,0.0560,-1.1805,0,1,0,0.37573,1
0.4598,4.5295,2.4902,11.6358,-0.0155,0.0103,-0.5983,0,1,0,0.22145,1
0.4640,4.6021,2.4891,11.6851,-0.9106,0.0269,-0.6713,0,1,0,0.32113,1
0.3397,3.7335,2.8529,12.7648,-2.9391,0.0659,-1.2968,0,1,0,1.54566,1
0.4085,4.0539,2.5982,12.3762,2.7769,0.0527,-1.1951,0,1,0,0.98255,1
0.3612,3.8790,2.7821,12.3162,2.9307,0.1430,-1.1306,0,1,0,1.09146,1
0.4269,4.6990,2.6810,11.7645,2.1896,0.0159,-0.6629,0,1,0,0.41605,1
0.4205,4.2028,2.5829,11.9197,-2.9426,0.0392,-0.8113,0,1,0,0.63110,1
0.4213,4.4479,2.6438,11.7628,-1.6522,0.0145,-0.6486,0,1,0,0.20200,1
0.3981,4.3852,2.7405,12.9756,-3.1237,0.0179,-1.6327,0,1,1,1.79550,0
0.4483,4.8312,2.6127,12.2019,2.1022,0.0583,-1.1614,0,1,1,0.66473,3
0.4510,4.7009,2.5698,12.4056,0.4818,0.0032,-1.2832,0,1,0,1.30021,1
0.4822,5.1777,2.5380,12.9630,-2.7545,0.0046,-1.9672,0,1,1,1.50063,1
0.4195,4.3963,2.6389,12.8588,2.4429,0.0918,-1.7402,0,1,0,1.53424,1
0.4868,4.8561,2.4496,12.6371,-2.7822,0.0067,-1.6418,0,1,1,1.22452,1
0.4530,4.5997,2.5367,12.1896,2.9152,0.0223,-1.1115,0,1,0,0.85204,1
0.4936,5.4269,2.5391,12.0073,2.6701,0.0298,-1.0518,0,1,0,0.48015,3
0.4053,4.2401,2.6647,12.8203,-2.7076,0.0787,-1.6240,0,1,1,1.56865,1
0.4280,4.2415,2.5589,11.9319,-1.0803,0.0483,-0.8500,0,1,0,0.60007,1
0.4661,4.6530,2.4919,11.5816,1.6781,0.0084,-0.5570,0,1,0,0.18856,3
0.4726,4.9063,2.5210,12.9590,2.3279,0.0097,-1.9279,0,2,1,1.44159,1
0.3881,4.2679,2.7584,12.9610,-3.0282,0.0644,-1.6541,2,2,1,2.97289,1
0.4228,4.6254,2.6821,12.8713,2.6457,0.0843,-1.7520,0,1,0,1.70252,1
0.5002,5.2824,2.4815,11.7841,-2.1579,0.0105,-0.8157,0,1,0,0.24535,3
0.5133,4.6467,2.2993,11.5576,0.4736,0.0234,-0.6239,0,1,0,0.16322,3
0.4098,4.1041,2.6060,12.3131,-2.6310,0.0643,-1.1606,0,1,0,0.49974,1
0.3419,3.7508,2.8463,13.1310,2.9971,0.0335,-1.5375,0,1,1,1.81942,1
0.4284,4.2120,2.5498,11.8746,2.6248,0.0260,-0.7714,0,1,0,0.44582,1
0.4857,5.1013,2.5065,12.9829,-2.7196,0.0344,-2.0558,0,1,1,1.45927,1
0.4955,4.7450,2.3898,11.9323,1.9450,0.0021,-0.9391,0,1,0,0.48299,1
0.4461,4.6236,2.5731,11.8384,2.8583,0.0008,-0.7446,0,1,0,0.35620,3
0.4639,4.5467,2.4768,11.9405,-1.2257,0.0237,-0.9050,0,1,0,0.22179,3
0.4717,5.2020,2.5899,13.1150,-2.4865,0.0491,-2.1610,0,2,2,1.51309,0
0.4240,4.1792,2.5607,11.7281,2.2454,0.0488,-0.6661,0,1,0,0.28885,3
0.4002,4.1768,2.6720,11.9368,2.5743,0.1001,-0.8611,0,1,0,0.25263,1
0.4005,4.3907,2.7302,13.3267,2.2134,0.0181,-1.9624,0,2,3,2.90962,1
0.4575,5.0116,2.6123,12.7004,-2.6723,0.0179,-1.6168,0,1,0,1.38996,1
0.3613,3.9105,2.7919,13.2321,-2.8103,0.0262,-1.6983,0,1,1,2.19532,1
0.4237,4.2874,2.5906,11.9076,2.7445,0.0717,-0.8502,0,1,0,0.22679,1
0.4609,4.8303,2.5553,12.2015,-1.7645,0.0309,-1.1578,0,1,0,0.63582,3
0.3784,3.9615,2.7183,12.1271,-2.5287,0.0563,-0.9073,0,0,0,0.00000,3
0.3576,3.8254,2.7842,11.9109,-2.5610,0.1398,-0.8001,0,1,0,0.24822,3
0.4639,4.3631,2.4338,11.9535,-0.6184,0.0210,-0.9124,0,1,0,0.33372,1
0.4566,4.3098,2.4515,12.0467,-0.2919,0.0259,-0.9897,0,1,0,0.65316,1
0.3632,3.9476,2.7929,12.3961,3.0819,0.0858,-1.1196,0,1,0,1.23156,3
