x,Q2,W,miss_mass,phih,pt2,t,secondary_pips,secondary_pims,secondary_pizs,secondary_esum,accepted
0.3638,3.9584,2.7934,13.1885,-2.7984,0.0303,-1.6814,0,1,1,1.76203,1
0.4917,4.5607,2.3653,12.5496,0.2861,0.0343,-1.6099,0,1,1,0.66264,1
0.3888,4.1717,2.7273,12.1539,2.6068,0.0213,-0.9085,0,1,1,0.78811,3
0.4114,4.4036,2.6797,12.6606,2.0967,0.0036,-1.3828,0,1,0,1.46300,1
0.4206,4.3183,2.6134,11.8088,-2.4195,0.0421,-0.7205,0,1,0,0.21326,3
0.4375,4.4545,2.5707,12.5383,3.0374,0.0235,-1.3935,2,2,1,1.01931,1
0.3562,3.8591,2.8030,13.2911,-2.5547,0.0318,-1.7326,0,1,0,2.23907,1
0.4263,4.4243,2.6142,11.7129,2.2813,0.0629,-0.6751,0,1,0,0.42754,3
0.3552,3.7785,2.7818,11.6250,-2.5426,0.0347,-0.4567,0,1,0,0.39515,1
0.4549,4.4672,2.4967,11.7355,2.2417,0.0540,-0.7353,0,1,0,0.21918,1
0.3683,3.9372,2.7627,12.3511,-3.0044,0.0369,-1.0303,1,2,0,0.95796,3
0.4191,4.2691,2.6072,12.2515,2.6811,0.0024,-1.0452,0,1,0,0.68142,1
0.4228,4.1757,2.5654,11.9801,-1.9384,0.0186,-0.8408,0,1,0,0.53089,3
0.5008,5.0660,2.4350,12.3700,-0.7012,0.0068,-1.4112,0,1,0,0.79044,1
0.5041,5.4502,2.4983,12.3750,-2.1239,0.0351,-1.4718,0,1,1,0.70754,3
0.5066,5.2717,2.4525,11.7127,-1.1879,0.0274,-0.7774,0,1,0,0.28309,1
0.4019,4.4206,2.7311,11.9457,-2.8267,0.0909,-0.8600,0,1,0,0.49769,3
0.5084,5.1464,2.4202,12.6242,1.8812,0.0494,-1.7788,0,1,1,1.18324,1
0.4224,4.3556,2.6145,11.8811,-1.7589,0.0120,-0.7475,0,1,0,0.36473,1
0.3738,4.0040,2.7544,11.8837,-2.7918,0.1164,-0.7828,0,1,0,0.39487,3
0.4244,4.5274,2.6495,12.1091,-1.5826,0.0494,-1.0001,0,1,0,0.67179,1
0.4845,4.5570,2.3935,12.1871,-0.6565,0.0084,-1.1740,0,1,0,0.77135,1
0.5465,4.9680,2.2368,12.2329,-0.0588,0.0651,-1.4852,0,1,0,0.51706,1
0.3905,3.9711,2.6608,12.0737,1.7197,0.0085,-0.8300,0,1,0,0.77351,1
0.4521,4.4716,2.5098,11.9550,-2.5908,0.0204,-0.8877,0,1,0,0.37356,1
0.4225,4.3132,2.6029,12.7221,-2.9822,0.0144,-1.4958,0,1,1,1.06900,1
0.3680,3.9830,2.7788,11.9594,3.1399,0.0262,-0.7138,0,1,0,0.54203,1
0.3403,3.7196,2.8444,12.7182,2.8013,0.1579,-1.4056,0,1,0,1.44360,1
0.3945,4.1818,2.7018,11.9724,-3.0168,0.0475,-0.8094,0,1,0,0.50430,3
0.5079,5.4131,2.4749,11.7480,-0.2066,0.0103,-0.7946,0,1,0,0.22958,1
0.5001,4.6727,2.3562,11.7077,0.7950,0.0224,-0.7508,0,1,0,0.29574,3
0.3966,4.3600,2.7413,13.2821,-3.0822,0.0553,-1.9709,0,1,1,1.98057,1
0.4398,4.4821,2.5670,11.8005,-2.5988,0.0436,-0.7526,0,1,0,0.40566,1
0.4546,4.5804,2.5249,12.8240,-1.7934,0.0142,-1.7200,0,1,1,1.24164,1
0.5718,5.6745,2.2649,12.5869,-0.6843,0.0629,-1.9959,0,1,1,0.87716,1
0.4394,4.6077,2.5999,12.5222,-2.2476,0.0034,-1.3552,0,2,0,1.25191,1
0.5408,5.7049,2.3924,12.3249,-0.8784,0.0425,-1.5445,0,1,0,0.57086,1
0.4377,4.2945,2.5292,11.9026,-3.0511,0.0183,-0.8055,0,1,0,0.36501,1
0.4326,4.3068,2.5552,11.8382,-2.7564,0.0601,-0.7925,0,1,0,0.55455,1
0.4660,4.7182,2.5073,12.2095,2.8913,0.0427,-1.1959,0,1,0,0.99554,1
0.3722,3.9302,2.7403,12.5897,-2.6039,0.0610,-1.2698,0,1,0,1.20327,1
0.4005,4.3815,2.7272,13.0726,-2.4886,0.0757,-1.8310,0,1,1,1.57023,1
0.4455,4.3843,2.5175,11.9591,1.3120,0.0101,-0.8625,0,1,0,0.29383,3
0.4687,4.3869,2.4192,11.9170,-2.0326,0.0254,-0.8948,0,1,0,0.53113,1
0.5888,5.5701,2.1842,12.2488,0.6727,0.0319,-1.5835,0,0,0,0.00000,1
0.4966,5.0497,2.4495,11.8941,1.9468,0.0429,-0.9596,0,1,0,0.45443,3
0.4822,5.2051,2.5436,11.8969,1.5754,0.0657,-0.9612,0,1,0,0.50287,1
0.4648,4.8360,2.5393,11.9058,2.5251,0.0748,-0.9426,0,1,0,0.42222,1
0.4926,4.9952,2.4548,11.8403,1.2960,0.0139,-0.8589,0,1,0,0.39052,3
0.5173,5.5970,2.4704,12.2185,-2.4252,0.0615,-1.3813,0,1,0,0.58788,1
0.3797,4.0863,2.7490,11.8512,2.8776,0.0153,-0.6418,1,1,0,0.36662,1
0.5278,5.5733,2.4223,11.8891,-0.5305,0.0084,-0.9803,0,1,0,0.31617,1
0.4252,4.5949,2.6630,11.7674,-1.7446,0.0072,-0.6511,0,1,0,0.31546,1
0.3292,3.6120,2.8706,13.1220,2.4321,0.0332,-1.4718,0,1,0,1.99766,1
0.3773,4.1286,2.7737,12.2341,-2.3302,0.0214,-0.9425,0,1,1,0.63973,1
0.4997,5.4535,2.5182,12.3843,1.3213,0.0450,-1.4819,0,0,3,0.70869,1
0.5143,5.3946,2.4443,11.7936,1.3636,0.0474,-0.9012,0,1,0,0.35291,3
0.3963,4.2399,2.7090,11.9164,-3.0362,0.0306,-0.7464,0,1,0,0.55308,3
0.3811,3.9591,2.7036,12.2047,-1.8110,0.0135,-0.9178,0,2,0,0.95879,1
0.4654,4.6390,2.4919,12.0768,-1.1711,0.0138,-1.0250,0,1,0,0.42417,1
0.4375,4.2935,2.5299,12.1096,-2.0290,0.0155,-0.9862,0,1,0,0.66390,1
0.4996,4.8000,2.3850,11.9938,-0.4575,0.0251,-1.0423,0,1,0,0.51070,1
0.4782,5.0606,2.5303,13.1655,-2.8246,0.0203,-2.1941,0,1,1,1.76492,1
0.3942,4.0804,2.6744,11.8052,2.3221,0.0636,-0.6939,0,1,0,0.30658,3
0.4316,4.2664,2.5495,12.2663,-0.4285,0.0018,-1.0920,0,1,0,0.79451,1
0.4206,4.2712,2.6007,11.6864,-3.0512,0.0623,-0.6418,0,1,0,0.38104,1
0.5436,4.9961,2.2526,11.9688,-1.0412,0.0232,-1.1183,0,1,0,0.61948,1
0.4343,4.7307,2.6539,12.1840,2.6089,0.1449,-1.2249,0,1,0,0.79161,1
0.3704,4.0442,2.7845,13.1823,3.1008,0.0825,-1.8014,1,2,2,1.71211,1
0.4527,4.8628,2.5999,11.8264,1.8989,0.0468,-0.8065,0,1,0,0.28481,3
0.4724,4.7724,2.4921,12.1344,1.0706,0.0110,-1.0954,0,1,0,0.49937,1
0.4841,5.2896,2.5527,11.8846,2.3903,0.0884,-0.9828,0,1,0,0.22871,1
0.4055,4.2657,2.6708,12.9765,-2.4920,0.0471,-1.7157,0,0,3,1.32037,1
0.5037,4.8115,2.3709,11.9979,-2.1382,0.0092,-1.0343,0,1,0,0.38297,1
0.3387,3.6744,2.8379,13.0373,2.4333,0.0342,-1.4516,0,1,1,2.01635,1
0.3432,3.7016,2.8220,11.8130,-2.8702,0.1157,-0.6691,0,1,0,0.47188,3
0.4315,4.4120,2.5871,12.2419,2.5228,0.0310,-1.1123,0,1,1,0.92234,1
0.4297,4.6026,2.6438,11.9237,2.5751,0.0861,-0.8961,0,1,0,0.33280,3
0.5041,5.1477,2.4380,12.1496,-0.6284,0.0144,-1.2019,0,1,0,0.47712,1
0.4739,4.9930,2.5345,11.9348,-1.3590,0.0512,-0.9603,0,1,0,0.51463,1
0.4495,4.7369,2.5849,11.7535,-2.9527,0.0501,-0.7375,0,1,0,0.15372,1
0.4085,4.2196,2.6440,11.8421,-2.7492,0.0134,-0.6882,0,1,0,0.41234,3
0.5074,4.7271,2.3386,11.7280,-0.7851,0.0067,-0.7645,0,1,0,0.45165,3
0.4241,4.1961,2.5649,12.1824,-1.8600,0.0507,-1.0657,0,1,0,0.63206,1
0.3918,4.0492,2.6768,12.5889,2.9737,0.0634,-1.3418,0,1,0,1.40721,1
0.4933,5.0080,2.4544,11.8839,-2.0788,0.0077,-0.8957,0,1,0,0.20412,3
0.3722,4.0334,2.7721,11.8754,2.9825,0.0725,-0.7173,0,1,0,0.59558,3
0.5059,5.0848,2.4179,11.9121,0.7125,0.0087,-0.9532,0,1,0,0.42835,3
0.5812,5.8735,2.2610,12.9649,-0.2141,0.0077,-2.4196,0,1,0,1.57894,1
0.4141,4.4930,2.6902,12.1969,2.1317,0.0148,-1.0029,0,1,0,0.85925,1
0.3857,4.0599,2.7102,11.7285,2.2095,0.0190,-0.5629,0,1,1,0.37195,1
0.4586,4.7530,2.5479,12.4789,-2.5326,0.0400,-1.4341,0,1,1,1.12059,1
0.5921,5.4051,2.1455,12.4995,-0.3835,0.0167,-1.8800,0,1,1,0.88580,1
0.4508,4.5187,2.5270,11.5981,1.0179,0.0091,-0.5489,0,1,0,0.28984,1
0.4179,4.5020,2.6740,12.9761,-2.9542,0.0280,-1.7367,0,1,0,1.43341,1
0.4121,4.1587,2.6100,11.9886,2.2318,0.0678,-0.8895,0,1,0,0.70607,3
0.4566,4.7525,2.5565,12.0791,1.1600,0.0189,-1.0132,0,1,0,0.66279,1
0.4620,4.3155,2.4300,12.4117,1.0427,0.0190,-1.3446,0,1,0,1.04391,1
0.4022,4.2214,2.6751,11.9239,3.0223,0.0212,-0.7525,0,1,0,0.36158,3
0.5504,5.2967,2.2821,11.9899,1.5520,0.0130,-1.1461,0,1,0,0.55947,1
0.4077,4.3727,2.6895,12.3305,1.9386,0.0064,-1.0874,0,1,0,0.84360,1
0.3816,4.0375,2.7245,11.9040,2.8286,0.0528,-0.7339,0,1,0,0.43891,3
0.4032,4.4145,2.7229,11.6606,2.4483,0.1992,-0.7576,0,1,0,0.30874,1
0.3719,3.9211,2.7393,12.1341,-3.1142,0.0312,-0.8627,0,1,0,0.90808,3
0.3284,3.6146,2.8764,12.0274,-2.9530,0.2100,-0.9120,0,1,0,0.78034,1
0.4903,5.1690,2.5008,12.1695,1.2575,0.0301,-1.2072,0,1,0,0.25745,1
0.4663,4.8188,2.5291,12.3373,-0.7952,0.0061,-1.2694,0,1,0,0.85094,1
0.3928,3.9644,2.6474,11.9913,-2.1575,0.0115,-0.7733,0,1,0,0.60022,3
0.4764,4.8311,2.4879,12.1662,-1.1230,0.0040,-1.1276,0,1,0,0.67119,1
0.4403,4.3041,2.5203,11.8258,1.5649,0.0016,-0.7212,0,1,0,0.21510,3
0.4140,4.2971,2.6387,11.7724,-3.0243,0.0001,-0.6248,0,1,0,0.50635,1
0.4207,4.4402,2.6449,12.7046,-2.7407,0.0295,-1.4975,0,1,0,1.51772,1
0.3550,3.9047,2.8241,12.4312,3.0670,0.1333,-1.1890,0,1,0,1.05866,1
0.4055,4.1101,2.6280,11.9649,2.6436,0.0976,-0.8935,0,1,0,0.53997,1
0.3665,3.8688,2.7507,11.9458,-3.1043,0.0811,-0.7708,0,1,0,0.45625,3
0.3418,3.7244,2.8375,12.8798,2.6610,0.0819,-1.4206,0,1,1,1.32722,1
0.5262,5.2083,2.3600,12.0044,1.0082,0.0216,-1.1151,0,1,0,0.18821,3
0.4108,4.4126,2.6852,12.4179,-2.4300,0.1089,-1.3208,0,1,0,0.85587,1
0.5316,5.2041,2.3377,11.9892,0.8451,0.0912,-1.2076,0,1,0,0.32750,1
0.4297,4.3630,2.5828,11.6712,-2.7936,0.0194,-0.5911,0,1,0,0.36312,3
0.4437,4.5320,2.5616,12.5197,3.0107,0.0139,-1.3828,0,1,0,1.12783,1
0.5445,5.4892,2.3391,12.4128,-1.8029,0.0210,-1.6234,0,1,0,0.77260,1
0.4890,4.5947,2.3838,11.9627,-0.5431,0.0423,-1.0084,0,1,0,0.66394,1
0.3997,4.0528,2.6395,12.8814,2.6018,0.0446,-1.6003,1,0,2,1.02114,1
0.4897,4.5705,2.3757,11.5962,0.8792,0.0139,-0.6131,0,1,0,0.22198,3
0.4973,4.9701,2.4301,12.6886,-1.0867,0.0121,-1.7453,0,1,1,1.40338,1
0.3608,3.9518,2.8072,12.1788,-2.4524,0.1390,-1.0136,0,1,0,0.80619,3
0.5022,4.7274,2.3593,12.0702,-1.5920,0.0025,-1.0946,0,1,0,0.62148,1
0.5781,5.9130,2.2793,11.7451,-0.0933,0.0064,-0.9259,0,1,0,0.24099,3
0.3694,3.8962,2.7442,11.9408,-2.7999,0.0423,-0.7233,0,1,0,0.57434,3
0.3826,3.9856,2.7038,11.8191,1.8526,0.0149,-0.6220,0,1,0,0.30479,1
0.3780,4.0401,2.7439,12.2118,3.0504,0.0506,-0.9661,0,2,0,0.86044,3
0.3936,4.1466,2.6959,13.0927,1.8722,0.0049,-1.6931,0,1,1,1.78596,1
0.4308,4.6229,2.6435,11.9484,3.0189,0.1167,-0.9607,0,1,0,0.50698,1
0.3612,3.8758,2.7811,13.0425,2.8158,0.0444,-1.5730,0,1,1,1.89380,1
0.4806,4.9345,2.4926,12.2945,-2.4041,0.0299,-1.3050,0,1,1,0.73458,1
0.4547,4.9989,2.6222,12.4285,2.7188,0.0579,-1.3988,0,1,0,0.75352,3
0.4494,4.8539,2.6128,11.8839,2.6921,0.0171,-0.8143,0,1,0,0.42816,3
0.4645,4.3117,2.4188,11.4796,0.8135,0.0443,-0.5040,0,1,0,0.14962,1
0.6162,6.0574,2.1571,11.8195,0.2096,0.0305,-1.1267,0,1,0,0.51907,3
0.3466,3.7908,2.8331,11.7095,-3.1413,0.0255,-0.4919,0,1,0,0.20010,1
0.4727,4.8242,2.5022,11.9303,-0.4291,0.0029,-0.8888,0,1,0,0.44371,1
0.3704,4.0400,2.7836,11.8507,-2.2719,0.1174,-0.7510,0,1,0,0.50639,3
0.3933,4.2200,2.7186,11.6365,-2.8233,0.0186,-0.5038,0,1,0,0.28942,1
0.4643,4.7059,2.5121,12.4649,-0.6776,0.0066,-1.3880,0,1,0,1.16582,1
0.4442,4.2461,2.4888,11.6500,-0.7672,0.0528,-0.6374,0,1,0,0.39906,1
0.4588,4.7449,2.5450,12.1225,2.9988,0.0183,-1.0588,0,1,0,0.74753,3
0.4249,4.3944,2.6130,11.9343,1.5838,0.0387,-0.8332,0,1,0,0.54423,1
0.3753,3.9442,2.7286,12.2089,-2.9109,0.0860,-1.0054,0,1,1,0.73508,1
0.5051,5.0078,2.4056,11.8961,2.9179,0.0000,-0.9230,0,1,0,0.36405,3
0.3896,4.0381,2.6844,11.9646,2.1843,0.0617,-0.8108,0,1,0,0.75596,3
0.4576,4.5918,2.5144,11.7904,3.0426,0.0220,-0.7503,0,1,0,0.45356,1
0.3663,3.8666,2.7512,12.5984,-2.6651,0.0242,-1.2004,0,1,1,1.31253,1
0.4585,4.6497,2.5243,12.2029,-0.7853,0.0079,-1.1191,0,1,0,0.91606,1
0.4655,4.4876,2.4563,12.0596,3.1066,0.0012,-0.9903,0,1,0,0.54152,1
0.3968,4.0951,2.6658,12.5145,-1.4391,0.0224,-1.2323,0,1,1,1.03530,1
0.5649,5.2936,2.2265,12.1358,-0.8359,0.0175,-1.3561,0,1,0,0.47449,1
0.5792,5.4249,2.1960,12.0592,-0.4658,0.0190,-1.3072,0,1,0,0.58946,1
0.3450,3.7330,2.8225,11.9008,-2.1347,0.0380,-0.6382,0,1,0,0.23846,1
0.5184,4.8209,2.3149,12.2671,1.0819,0.0040,-1.3476,0,1,0,0.92981,1
0.4821,5.2878,2.5614,12.5897,-2.9917,0.0191,-1.5988,0,1,2,1.26876,1
0.3975,4.0855,2.6594,11.8360,2.1958,0.0297,-0.6823,0,1,0,0.20246,3
0.4119,4.2742,2.6427,12.4793,2.6365,0.0867,-1.3483,0,1,0,1.31749,1
0.4201,4.3819,2.6323,12.3616,-2.8581,0.0626,-1.2324,0,1,1,0.94371,1
0.3737,4.0209,2.7602,11.6695,-2.1520,0.0194,-0.4991,0,1,0,0.23580,1
0.4471,4.6145,2.5663,12.1173,1.1951,0.0035,-1.0031,0,1,0,0.71365,1
0.4029,4.2480,2.6788,12.8051,1.6940,0.0246,-1.5116,0,1,0,1.37736,1
0.3837,4.2293,2.7700,11.9010,-2.8617,0.0567,-0.7410,0,1,0,0.33929,2
0.4686,4.8564,2.5273,13.0405,1.0112,0.0128,-2.0007,0,1,1,1.74837,1
0.3714,4.0441,2.7794,13.0514,2.8175,0.0623,-1.6563,0,1,0,1.74601,1
0.3452,3.7765,2.8364,12.1320,-2.6672,0.0923,-0.8753,0,1,0,0.80899,3
