x,Q2,W,miss_mass,phih,pt2,t,secondary_pips,secondary_pims,secondary_pizs,secondary_esum,accepted
0.4824,5.3256,2.5682,11.5657,-2.0044,0.0105,-0.5723,0,1,0,0.23373,0
0.4630,4.8049,2.5402,12.3730,2.0844,0.0030,-1.2897,0,1,1,1.09413,1
0.3562,3.8674,2.8053,12.3814,-2.8096,0.0273,-1.0040,0,1,0,0.50712,1
0.4851,4.8225,2.4494,11.9799,-1.4345,0.0189,-0.9862,0,1,0,0.53448,3
0.3873,4.2280,2.7512,11.9333,-3.0432,0.0340,-0.7452,0,1,0,0.59979,3
0.3882,3.9721,2.6722,11.8783,3.0018,0.1047,-0.7935,0,1,0,0.34367,1
0.4674,5.1431,2.5965,12.1858,2.9997,0.0130,-1.1373,0,1,0,0.88865,3
0.4413,4.3926,2.5381,11.9082,-2.4427,0.0710,-0.8878,0,1,0,0.35465,1
0.4218,4.3243,2.6092,11.7042,-2.6664,0.0271,-0.6153,0,1,0,0.20637,3
0.4454,4.2124,2.4749,12.1048,-2.3323,0.0038,-0.9847,0,2,0,0.84416,1
0.4847,4.4175,2.3614,12.0368,-0.5290,0.0573,-1.0929,0,1,0,0.40590,1
0.3678,4.0154,2.7899,11.7382,3.0374,0.2105,-0.7737,0,0,0,0.00000,1
0.3939,4.0361,2.6628,11.5057,2.0974,0.0062,-0.3883,0,1,0,0.26170,1
0.3627,3.8717,2.7717,13.0812,-2.6041,0.0401,-1.6047,0,1,1,1.89385,1
0.4163,4.5765,2.7016,12.3181,-2.5037,0.0162,-1.1164,0,1,0,0.89102,1
0.4006,4.2309,2.6851,11.8285,-3.0437,0.0364,-0.6911,0,1,0,0.41487,3
0.4350,4.7673,2.6596,12.8116,2.3918,0.0345,-1.6631,0,1,1,1.27597,1
0.3861,4.0109,2.6940,12.5752,-2.4352,0.0078,-1.2251,0,1,1,1.26180,1
0.4981,4.7817,2.3870,12.1264,0.7966,0.0385,-1.1935,0,1,1,0.79837,1
0.4513,4.4996,2.5204,11.9741,-2.9000,0.0123,-0.8926,0,1,0,0.30961,3
0.3953,4.0501,2.6603,11.8014,-2.6402,0.0127,-0.6289,0,1,0,0.35976,3
0.3958,4.0235,2.6501,11.9433,2.5389,0.1143,-0.8756,0,1,0,0.38668,1
0.3366,3.6747,2.8500,13.1282,2.9599,0.1205,-1.6631,0,1,1,1.36165,1
0.3657,3.9357,2.7761,12.8471,-3.0014,0.0106,-1.3761,0,1,1,1.64676,1
0.4022,4.0091,2.6151,11.9625,-2.3521,0.0144,-0.7745,0,1,0,0.46622,3
0.3820,4.0500,2.7262,11.8505,1.8807,0.0355,-0.6710,0,1,0,0.26246,1
0.4094,4.1937,2.6327,11.5701,1.6546,0.0174,-0.4734,0,0,0,0.00000,1
0.4557,4.3213,2.4580,11.8498,0.3131,0.0103,-0.7845,0,1,0,0.54571,1
0.3729,3.9596,2.7456,13.1780,2.0932,0.0057,-1.6716,0,1,1,1.80976,1
0.4498,4.6222,2.5563,11.8870,-2.0270,0.0368,-0.8425,0,1,0,0.32941,3
0.3653,3.9872,2.7943,12.8391,-2.3804,0.0405,-1.4160,0,1,1,1.43276,1
0.4263,4.3169,2.5867,12.6346,2.2359,0.0659,-1.5109,0,1,0,1.26757,1
0.4370,4.6673,2.6255,11.8990,-1.7125,0.0314,-0.8196,0,1,0,0.17978,1
0.5037,5.1119,2.4326,12.2427,-1.2472,0.0492,-1.3480,0,1,0,0.74854,1
0.4011,4.1059,2.6480,11.5948,2.3294,0.0671,-0.5408,0,1,0,0.29807,3
0.3646,3.9894,2.7986,12.1141,2.4257,0.0535,-0.8590,0,1,0,0.38570,1
0.3582,3.7847,2.7682,12.0949,-2.3349,0.0100,-0.7710,0,1,0,0.85255,1
0.4328,4.2953,2.5515,11.6737,-2.0306,0.0608,-0.6495,0,1,0,0.26633,3
0.5213,5.1993,2.3778,11.7088,-0.7933,0.0548,-0.8350,0,1,0,0.29976,1
0.4978,5.2197,2.4793,11.9585,0.2886,0.0007,-0.9722,0,0,0,0.00000,1
0.4057,4.2943,2.6780,11.9593,-2.9294,0.1065,-0.9004,0,1,0,0.54376,1
0.4969,5.2339,2.4858,11.8828,0.8621,0.0196,-0.9193,0,1,0,0.48758,1
0.3430,3.7776,2.8490,11.8452,-2.6221,0.0442,-0.6029,0,1,0,0.48207,0
0.3291,3.6316,2.8781,13.2053,2.4582,0.0469,-1.5588,0,1,1,1.97351,0
0.6460,5.9641,2.0370,12.0843,-0.0566,0.0342,-1.5434,0,1,0,0.52194,1
0.3854,4.1808,2.7471,12.4751,-2.8339,0.0088,-1.1428,0,1,1,1.08572,1
0.4447,4.5274,2.5562,11.8446,1.8402,0.0211,-0.7728,0,1,0,0.29580,3
0.3930,4.1145,2.6900,12.9959,-2.1623,0.0070,-1.6087,0,1,1,0.91992,1
0.4325,4.5533,2.6184,11.6893,3.0451,0.0183,-0.6106,0,1,0,0.35619,3
0.4846,4.6943,2.4236,11.8252,-1.8359,0.0217,-0.8362,0,1,0,0.52077,3
